#warehouse,container,rack,tray,x,y,UV period,height (in),weight (g),operator,GCMS,
0,0,0,0,0,1,10.67,5,37,tim savas,,
0,0,0,0,0,3,10.67,4,30,tim savas,,
0,0,0,0,0,5,10.67,4,30,tim savas,,
0,0,0,0,1,0,10.67,5,28,tim savas,,
0,0,0,0,1,2,10.67,3.5,32,tim savas,,
0,0,0,0,1,4,10.67,3.5,35,tim savas,,
0,0,0,0,2,1,10.67,6,44,tim savas,,
0,0,0,0,2,3,10.67,3.5,29,tim savas,,
0,0,0,0,2,5,10.67,6,31,tim savas,,
0,0,0,0,3,0,10.67,5,36,tim savas,,
0,0,0,0,3,2,10.67,4,39,tim savas,,
0,0,0,0,4,1,10.67,4.5,35,tim savas,,
0,0,0,0,4,3,10.67,3.5,26,tim savas,,
0,0,0,0,4,5,10.67,7,42,tim savas,,
0,0,0,0,5,0,10.67,4,25,tim savas,,
0,0,0,0,5,4,10.67,5.5,47,tim savas,,
0,0,0,0,6,1,10.67,4,33,tim savas,,
0,0,0,0,6,3,10.67,4,37,tim savas,,
0,0,0,0,6,5,10.67,4,23,tim savas,,
0,0,0,0,7,0,10.67,4,26,tim savas,,
0,0,0,0,7,2,10.67,4,27,tim savas,,
0,0,0,0,7,4,10.67,4.5,35,tim savas,,
0,0,0,0,8,3,10.67,3.5,40,tim savas,,
0,0,0,0,8,5,10.67,4.5,33,tim savas,,
0,0,0,0,9,0,10.67,5.5,26,tim savas,,
0,0,0,0,9,2,10.67,5,43,tim savas,,
0,0,0,0,9,4,10.67,5,35,tim savas,,
0,0,0,0,10,5,10.67,5,33,tim savas,,
0,0,0,0,11,0,10.67,4,23,tim savas,,
0,0,0,0,11,2,10.67,5.5,39,tim savas,,
0,0,0,1,0,1,17.45,4.5,28,tim savas,,
0,0,0,1,0,3,17.45,3.5,26,tim savas,,
0,0,0,1,0,5,17.45,4,23,tim savas,,
0,0,0,1,1,0,17.45,4,26,tim savas,,
0,0,0,1,1,2,17.45,4,40,tim savas,,
0,0,0,1,1,4,17.45,4.5,23,tim savas,,
0,0,0,1,2,1,17.45,4,29,tim savas,,
0,0,0,1,2,3,17.45,4,37,tim savas,,
0,0,0,1,2,5,17.45,4,27,tim savas,,
0,0,0,1,3,0,17.45,3.5,30,tim savas,,
0,0,0,1,3,2,17.45,4.5,44,tim savas,,
0,0,0,1,3,4,17.45,5,39,tim savas,,
0,0,0,1,4,1,17.45,3.5,25,tim savas,,
0,0,0,1,4,3,17.45,4.5,32,tim savas,,
0,0,0,1,4,5,17.45,3.5,24,tim savas,,
0,0,0,1,5,0,17.45,5.5,35,tim savas,,
0,0,0,1,5,2,17.45,4.5,34,tim savas,,
0,0,0,1,5,4,17.45,5.5,51,tim savas,,
0,0,0,1,6,1,17.45,6,56,tim savas,,
0,0,0,1,6,3,17.45,5,38,tim savas,,
0,0,0,1,6,5,17.45,6,36,tim savas,,
0,0,0,1,7,0,17.45,5.5,31,tim savas,,
0,0,0,1,7,2,17.45,4.5,42,tim savas,,
0,0,0,1,7,4,17.45,6.5,40,tim savas,,
0,0,0,1,8,1,17.45,5,39,tim savas,,
0,0,0,1,8,3,17.45,4.5,35,tim savas,,
0,0,0,1,8,5,17.45,7,44,tim savas,,
0,0,0,1,9,0,17.45,4.5,38,tim savas,,
0,0,0,1,9,2,17.45,5.5,53,tim savas,,
0,0,0,1,9,4,17.45,6.5,64,tim savas,,
0,0,0,1,10,1,17.45,3.5,34,tim savas,,
0,0,0,1,10,3,17.45,6,50,tim savas,,
0,0,0,1,10,5,17.45,6,31,tim savas,,
0,0,0,1,11,0,17.45,6,36,tim savas,,
0,0,0,1,11,2,17.45,5.5,38,tim savas,,
0,0,0,1,11,4,17.45,5,44,tim savas,,
0,0,0,2,0,1,0,7,43,tim savas,,
0,0,0,2,0,3,0,5.5,54,tim savas,,
0,0,0,2,0,5,0,6,33,tim savas,,
0,0,0,2,1,0,0,4.5,31,tim savas,,
0,0,0,2,1,2,0,6,55,tim savas,,
0,0,0,2,1,4,0,6.5,55,tim savas,,
0,0,0,2,2,1,0,7,39,tim savas,,
0,0,0,2,2,3,0,6,47,tim savas,,
0,0,0,2,3,0,0,5.5,40,tim savas,,
0,0,0,2,3,2,0,6,43,tim savas,,
0,0,0,2,3,4,0,6,50,tim savas,,
0,0,0,2,4,1,0,4,32,tim savas,,
0,0,0,2,4,5,0,6.5,46,tim savas,,
