#id,RT,RI,abundance,CAS,weight
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~β-Pinene",10.874,,22246700,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~β-Myrcene",11.712,,8871002,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Eucalyptol",13.51,,249561886,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~β-cis-Ocimene",14.506,,29318182,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Terpinolene",16.388,,12999311,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Linalool",17.086,,197227362,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~d-Camphor",19.026,,13746793,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~endo-Borneol",20.078,,7944088,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Terpinen-4-ol",20.669,,,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~α-Terpineol",21.32,,24232393,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Bornyl acetate",25.781,,16500831,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene a",28.041,,11847155,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Eugenol",29.151,,1251956533,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Copaene",29.729,,8571993,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~trans-Methyl cinnamate",30.02,,16428749,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene b",30.144,,,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~β-Elemene",30.446,,44209903,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Methyleugenol",31.083,,619045671,,
